date,month,symbol_files,chosen_symbol,chosen_expiry,days_to_expiry,chosen_5d_avg_volume,next_symbol,next_5d_avg_volume,roll_reason,total_volume_that_day,rank_by_volume_among_available_symbols,available_symbol_count
2025-01-01,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-01_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,22,0.0,F:BRN\J25,0.0,default_most_prompt,0.0,1.0,1
2025-01-02,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-02_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,21,0.0,F:BRN\J25,0.0,default_most_prompt,216897.0,1.0,1
2025-01-03,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-03_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,20,108448.5,F:BRN\J25,0.0,default_most_prompt,166545.0,1.0,1
2025-01-04,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-04_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,19,127814.0,F:BRN\J25,0.0,default_most_prompt,0.0,1.0,1
2025-01-06,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-06_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,19,95860.5,F:BRN\J25,0.0,default_most_prompt,217449.0,1.0,1
2025-01-07,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-07_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,18,120178.2,F:BRN\J25,0.0,default_most_prompt,202382.0,1.0,1
2025-01-08,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-08_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,17,160654.6,F:BRN\J25,0.0,default_most_prompt,233646.0,1.0,1
2025-01-09,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-09_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,16,164004.4,F:BRN\J25,0.0,default_most_prompt,148224.0,1.0,1
2025-01-10,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-10_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,15,160340.2,F:BRN\J25,0.0,default_most_prompt,417550.0,1.0,1
2025-01-11,2025-01,{'F:BRN\\H25': [WindowsPath('C:/Users/taran/OneDrive/Desktop/Downloads/Backtesting data 2025/January - March contract (F_BRN_H25)/2025-01-11_F_BRN_H25_1s.csv')]},F:BRN\H25,2025-01-31,14,243850.2,F:BRN\J25,0.0,default_most_prompt,0.0,1.0,1
